node_id,canonical_text,top_signals_state,top_signals_matter,top_signals_movement,embedding_ok
29c4cb5d-1832-45e3-8434-5d619b3c2c72,"state: impactante, preciso, moderno | matter: espaço, vetor, silhueta | movement: expansão, centralização, definição","impactante|preciso|moderno","espaço|vetor|silhueta","expansão|centralização|definição",true
df9dcc5e-e809-4ffe-933a-8d6772a72800,"state: provocante, intenso, agressivo | matter: vinil, tinta fresca, ruído digital | movement: sorrir, fixar, apontar","provocante|intenso|agressivo","vinil|tinta fresca|ruído digital","sorrir|fixar|apontar",true
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,"state: ousado, moderno, declarativo | matter: acrílico, metal escovado, papel grosso | movement: ancorar, definir, moldar","ousado|moderno|declarativo","acrílico|metal escovado|papel grosso","ancorar|definir|moldar",true
0c7401e0-31ff-414b-a1a5-37788125a8d4,"state: ousado, energético, impactante | matter: plástico liso, vinil brilhante, cores sólidas | movement: saltar, chamar, declarar","ousado|energético|impactante","plástico liso|vinil brilhante|cores sólidas","saltar|chamar|declarar",true
1a4e4133-08d3-4676-948c-d018846cde04,"state: vibrante, chamativo, energético | matter: plástico, vinil, elétrico | movement: saltar, deslizar, pulsar","vibrante|chamativo|energético","plástico|vinil|elétrico","saltar|deslizar|pulsar",true
de05fcf5-afb4-423c-82c2-c9ebb81673ae,"state: digital, glitchy, formal | matter: pixels, neon, data | movement: pulsar, fragmentar, oscilar","digital|glitchy|formal","pixels|neon|data","pulsar|fragmentar|oscilar",true
559edd31-01ed-47f0-a5f2-a20b4c07cdde,"state: alegre, acolhedor, simples | matter: açúcar, algodão, calor | movement: correr, acender, oferecer","alegre|acolhedor|simples","açúcar|algodão|calor","correr|acender|oferecer",true
96203f8c-e3e8-4966-9c3d-f7ac9168f992,"state: lúdico, acolhedor, gentil | matter: feltro macio, borracha, massa de modelar | movement: saltitar, flutuar, acolher","lúdico|acolhedor|gentil","feltro macio|borracha|massa de modelar","saltitar|flutuar|acolher",true
24285c4c-372c-4857-8c1c-658ba0a4b647,"state: fragmentado, dinâmico, experimental | matter: ruído digital, grão de halftones, vetor elétrico | movement: explodir, pulsar, deslizar","fragmentado|dinâmico|experimental","ruído digital|grão de halftones|vetor elétrico","explodir|pulsar|deslizar",true
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,"state: caótico, surreal, energético | matter: poeira digital, luz neon, papel granulado | movement: pulsar, desfocar, sobrepor","caótico|surreal|energético","poeira digital|luz neon|papel granulado","pulsar|desfocar|sobrepor",true
61bf0b1b-bca2-4604-9036-c3006b1a9a4a,"state: formal, cerebral, objetivo | matter: papel, tinta, rigidez | movement: ancorar, registrar, declarar","formal|cerebral|objetivo","papel|tinta|rigidez","ancorar|registrar|declarar",true
eb61265a-fc7c-4f4f-89b7-ce94f8a7b8e5,"state: noite urbana, caótica, vibrante | matter: metal, chuva, luz neon | movement: iluminar, desfocar, sobrepor","noite urbana|caótica|vibrante","metal|chuva|luz neon","iluminar|desfocar|sobrepor",true
a462e427-6593-4b04-8909-07003b8a76e9,"state: digital, energetic, informational | matter: neon glow, digital grid, bold typography | movement: pulsating, scrolling, aligning","digital|energetic|informational","neon glow|digital grid|bold typography","pulsating|scrolling|aligning",true
68830f51-7115-4dde-ac53-f6d8be34de1b,"state: intense, abstract, minimalist | matter: digital light, static energy, processed air | movement: fading, shimmering, pulsing","intense|abstract|minimalist","digital light|static energy|processed air","fading|shimmering|pulsing",true
7d372b41-9eec-48d5-97fd-28c556d7475a,"state: analítico, digital, texturizado | matter: pixel, caracteres, dados | movement: processando, renderizando, desenhando","analítico|digital|texturizado","pixel|caracteres|dados","processando|renderizando|desenhando",true
39b12e1b-50ba-4376-bb72-05d53d815686,"state: iridescente, digital, estudioso | matter: plástico, luz difusa, papel virtual | movement: difundindo, desdobrando, circulando","iridescente|digital|estudioso","plástico|luz difusa|papel virtual","difundindo|desdobrando|circulando",true
c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,"state: eletrizante, festivo, urgente | matter: energia, luz neon, pulso digital | movement: pulsar, irradiar, girar","eletrizante|festivo|urgente","energia|luz neon|pulso digital","pulsar|irradiar|girar",true
5ed94bf1-6de4-4233-9aee-9fbe1482502c,"state: dinâmico, assertivo, energético | matter: tinta vívida, ouro escuro, pixelado | movement: avançar, galopar, saltar","dinâmico|assertivo|energético","tinta vívida|ouro escuro|pixelado","avançar|galopar|saltar",true
6db3da82-b45f-40f0-a543-3f1937a9b77d,"state: introspectivo, sensual, melancólico | matter: veludo, pétala, sombra | movement: sussurrar, desabrochar, contemplar","introspectivo|sensual|melancólico","veludo|pétala|sombra","sussurrar|desabrochar|contemplar",true
b94dea90-0a9d-4b59-9fbc-535749306fd2,"state: desorientador, digitalmente fragmentado, nostálgico confuso | matter: glitch, pixels, pelo digital | movement: corrompendo, fragmentando, pixelizando","desorientador|digitalmente fragmentado|nostálgico confuso","glitch|pixels|pelo digital","corrompendo|fragmentando|pixelizando",true
